chain,project,symbol,rewardTokens,pool,stablecoin,ilRisk,exposure,poolMeta,underlyingTokens
Ethereum,lido,STETH,None,747c1d2a-c668-4682-b9f9-296708a3dd90,False,no,single,,None
Ethereum,makerdao,USDC,None,051c1a54-df05-4bc4-9d73-c17508acae23,True,no,single,PSM-USDC-A,None
Tron,justlend,BTC,TPYmHEhy5n8TCEfYGqW2rPxsghSfzghPDn,71418c17-d2aa-4eff-b68a-806fff9ec951,False,no,single,,TN3W4H6rK2ce4vX9YnFQHwKENnHjoxb3m9
Ethereum,aave-v2,STETH,None,0e458a5b-fd99-4667-8706-dd938934cb0c,False,no,single,,0xae7ab96520de3a18e5e111b5eaab095312d7fe84
Ethereum,makerdao,WETH,None,51d2f8d4-1fb5-4f6b-938b-e9cd17ca1ceb,False,no,single,ETH-C,None
Ethereum,curve,ETH-STETH,"0x5A98FcBEA516Cf06857215779Fd812CA3beF1B32, 0xD533a949740bb3306d119CC777fa900bA034cd52",57d30b9c-fc66-4ac2-b666-69ad5f410cce,False,no,multi,,"0xEeeeeEeeeEeEeeEeEeEeeEEEeeeeEeeeeeeeEEeE, 0xae7ab96520DE3A18E5e111B5EaAb095312D7fE84"
Ethereum,makerdao,WETH,None,54600482-cfb9-4dd9-a73b-342cffd4644a,False,no,single,ETH-A,None
Ethereum,curve,DAI-USDC-USDT,0xD533a949740bb3306d119CC777fa900bA034cd52,25171c4c-1877-449a-9f88-45a9f153ee31,True,no,multi,,"0x6B175474E89094C44Da98b954EedeAC495271d0F, 0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48, 0xdAC17F958D2ee523a2206206994597C13D831ec7"
Ethereum,convex-finance,ETH-STETH,"0xd533a949740bb3306d119cc777fa900ba034cd52, 0x4e3fbd56cd56c3e72c1403e103b45db9da5b9d2b, 0x5A98FcBEA516Cf06857215779Fd812CA3beF1B32",5ce23e7e-3800-4c9c-ad30-6db3db0515a1,False,no,multi,,"0xEeeeeEeeeEeEeeEeEeEeeEEEeeeeEeeeeeeeEEeE, 0xae7ab96520DE3A18E5e111B5EaAb095312D7fE84"
Ethereum,makerdao,GUSD,None,efbf1a35-0756-41b1-b230-166ed4809314,True,no,single,PSM-GUSD-A,None
Ethereum,curve,FRAX-3CRV,"0x3432B6A60D23Ca0dFCa7761B7ab56459D9C964D0, 0xD533a949740bb3306d119CC777fa900bA034cd52",8d989d6c-99ba-447e-8f3d-3aca98e993fd,True,no,multi,,"0x853d955aCEf822Db058eb8505911ED77F175b99e, 0x6c3F90f043a72FA612cbac8115EE7e52BDe6E490"
Ethereum,convex-finance,FRAX-3CRV,"0xd533a949740bb3306d119cc777fa900ba034cd52, 0x4e3fbd56cd56c3e72c1403e103b45db9da5b9d2b",844a8a29-4653-42e6-b675-a6b43fac3678,True,no,multi,,"0x853d955aCEf822Db058eb8505911ED77F175b99e, 0x6c3F90f043a72FA612cbac8115EE7e52BDe6E490"
Ethereum,aave-v2,WBTC,None,40e0d8b7-5eba-4d6c-a3c2-9ac375bcd4bf,False,no,single,,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599
Ethereum,curve,FRAX-USDC,0xD533a949740bb3306d119CC777fa900bA034cd52,3f6aa14f-eb0c-4738-bf74-8bc666f7d2b1,True,no,multi,,"0x853d955aCEf822Db058eb8505911ED77F175b99e, 0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48"
Ethereum,aave-v2,USDC,None,a349fea4-d780-4e16-973e-70ca9b606db2,True,no,single,,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48
Ethereum,makerdao,PAX,None,6ece81c6-2b1d-4513-ad1c-eaf9d52f67cb,False,no,single,PSM-PAX-A,None
Ethereum,makerdao,WSTETH,None,51eb4b5c-6d62-42fe-99d6-92ba6eecd2d5,False,no,single,WSTETH-A,None
Ethereum,convex-finance,FRAX-USDC,"0xd533a949740bb3306d119cc777fa900ba034cd52, 0x4e3fbd56cd56c3e72c1403e103b45db9da5b9d2b",bd072651-d99c-4154-aeae-51f12109c054,True,no,multi,,"0x853d955aCEf822Db058eb8505911ED77F175b99e, 0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48"
Ethereum,liquity,WETH,None,ddd25534-e3d5-4e4e-9b99-d3102323ac61,False,no,single,,None
Arbitrum,gmx,GLP,0xfc5A1A6EB076a2C7aD06eD22C90d7E710E35ad0a,825688c0-c694-4a6b-8497-177e425b7348,False,yes,single,,0x4277f8F2c384827B5273592FF7CeBd9f2C1ac258
Ethereum,compound,WETH,0xc00e94cb662c3520282e6f5717214004a7f26888,1e5da7c6-59bb-49bd-9f97-4f4fceeffad4,False,no,single,,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
Ethereum,compound,USDC,0xc00e94cb662c3520282e6f5717214004a7f26888,cefa9bb8-c230-459a-a855-3b94e96acd8c,True,no,single,,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48
Ethereum,aave-v2,WETH,None,f2726d05-1f8d-4b9c-80e3-43d03d85d117,False,no,single,,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
Arbitrum,gmx,GMX,0xfc5A1A6EB076a2C7aD06eD22C90d7E710E35ad0a,4df7d373-6214-4a73-9bd3-ca6e5683d846,False,no,single,,0xfc5A1A6EB076a2C7aD06eD22C90d7E710E35ad0a
BSC,venus,WBNB,0xcf6bb5389c92bdda8a3747ddb454cb7a64626c63,747b58ab-aefd-42e1-a312-01ad5a0ab7f5,False,no,single,,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c
Tron,justlend,USDT,TPYmHEhy5n8TCEfYGqW2rPxsghSfzghPDn,dac406f6-5600-437e-849d-f03daa383864,True,no,single,,TR7NHqjeKQxGTCi8q8ZY4pL8otSzgjLj6t
Ethereum,compound,WBTC,,1d876729-4445-4623-8b6b-c5290db5d100,False,no,single,,0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599
Ethereum,compound,DAI,0xc00e94cb662c3520282e6f5717214004a7f26888,cc110152-36c2-4e10-9c12-c5b4eb662143,True,no,single,,0x6B175474E89094C44Da98b954EedeAC495271d0F
