provider,name,symbol,id,decimals
coingecko,Bitcoin,BTC,bitcoin,8
coingecko,Ethereum,ETH,ethereum,18
coingecko,BNB,BNB,binancecoin,18
coingecko,Solana,SOL,solana,18
coingecko,Cardano,ADA,cardano
coingecko,Avalanche,AVAX,avalanche-2,18
coingecko,Toncoin,TON,the-open-network
coingecko,Bitcoin Cash,BCH,bitcoin-cash
coingecko,TRON,TRX,tron
coingecko,NEAR Protocol,NEAR,near,18
coingecko,Aptos,APT,aptos,18
coingecko,Filecoin,FIL,filecoin
coingecko,Cosmos Hub,ATOM,cosmos,18
coingecko,Cronos,CRO,crypto-com-chain
coingecko,Hedera,HBAR,hedera-hashgraph
coingecko,Kaspa,KAS,kaspa
coingecko,Injective,INJ,injective-protocol
coingecko,Fantom,FTM,fantom,18
coingecko,Monero,XMR,monero
coingecko,Arweave,AR,arweave
coingecko,Sui,SUI,sui
coingecko,GALA,GALA,gala
coingecko,Core,CORE,coredaoorg
coingecko,Sei,SEI,sei-network,18
coingecko,Algorand,ALGO,algorand
coingecko,Flow,FLOW,flow,18
coingecko,MultiversX,EGLD,elrond-erd-2
coingecko,Flare,FLR,flare-networks
coingecko,eCash,XEC,ecash
coingecko,Chiliz,CHZ,chiliz
coingecko,Tezos,XTZ,tezos
coingecko,Ronin,RON,ronin
coingecko,Kava,KAVA,kava
coingecko,Klaytn,KLAY,klay-token
coingecko,AIOZ Network,AIOZ,aioz-network
coingecko,Gnosis,GNO,gnosis,18
coingecko,Oasis Network,ROSE,oasis-network
coingecko,Radix,XRD,radix
coingecko,Astar,ASTR,astar
coingecko,Enjin Coin,ENJ,enjincoin
coingecko,MANTRA,OM,mantra-dao
coingecko,ZetaChain,ZETA,zetachain
coingecko,Chia,XCH,chia
coingecko,Decred,DCR,decred
coingecko,Moonbeam,GLMR,moonbeam
coingecko,Vanar Chain,VANRY,vanar-chain
coingecko,Kadena,KDA,kadena
coingecko,Chromia,CHR,chromaway
coingecko,Aleph Zero,AZERO,aleph-zero
coingecko,WAX,WAXP,wax
coingecko,Dusk,DUSK,dusk-network
coingecko,Oraichain,ORAI,oraichain-token
coingecko,Syscoin,SYS,syscoin
coingecko,Alephium,ALPH,alephium
coingecko,Humans.ai,HEART,humans-ai
coingecko,Tectum,TET,tectum
coingecko,Moonriver,MOVR,moonriver
coingecko,Hive,HIVE,hive
coingecko,Oasys,OAS,oasys
coingecko,QANplatform,QANX,qanplatform
coingecko,Cudos,CUDOS,cudos
coingecko,Ergo,ERG,ergo
coingecko,CANTO,CANTO,canto
coingecko,LUKSO,LYX,lukso-token-2
coingecko,LTO Network,LTO,lto-network
coingecko,Viction,VIC,tomochain
coingecko,Agoric,BLD,agoric
coingecko,MELD,MELD,meld-2
coingecko,Picasso,PICA,picasso
coingecko,Concordium,CCD,concordium
coingecko,Archway,ARCH,archway
coingecko,Jackal Protocol,JKL,jackal-protocol
coingecko,Zano,ZANO,zano
coingecko,Thought,THT,thought
coingecko,Taraxa,TARA,taraxa
coingecko,OctaSpace,OCTA,octaspace
coingecko,Evmos,EVMOS,evmos
coingecko,AirDAO,AMB,amber
coingecko,Neurai,XNA,neurai
coingecko,FIO Protocol,FIO,fio-protocol
coingecko,Nexa,NEXA,nexacoin
coingecko,Phantasma,SOUL,phantasma
coingecko,Radiant,RXD,radiant
coingecko,Electra Protocol,XEP,electra-protocol
coingecko,KIRA Network,KEX,kira-network
coingecko,Fuse,FUSE,fuse-network-token
coingecko,Saito,SAITO,saito
coingecko,Hacash,HAC,hacash
coingecko,Chihuahua Chain,HUAHUA,chihuahua-token
coingecko,MainnetZ,NETZ,mainnetz
coingecko,Aura Network,AURA,aura-network
coingecko,Witnet,WIT,witnet
coingecko,White Whale,WHALE,white-whale
coingecko,Script Network,SCPT,script-network
coingecko,Diamond,DMD,diamond
coingecko,Interlay,INTR,interlay
coingecko,MultiVAC,MTV,multivac
coingecko,LiquidLayer,LILA,liquidlayer
coingecko,Epic Cash,EPIC,epic-cash
coingecko,Unique Network,UNQ,unique-network
coingecko,THORChain,RUNE,thorchain,18
coingecko,Axelar,AXL,axelar,18
coingecko,Osmosis,OSMO,osmosis,18
coingecko,Polygon,MATIC,matic-network,18
coingecko,Polygon Ecosystem Token,POL,polygon-ecosystem-token,18
coingecko,XDAI,XDAI,xdai,18
coingecko,Aurora,AURORA,aurora-near,18
coingecko,Mantle,MNT,mantle,18
coinmarketcap,Bitcoin,BTC,1,8
coinmarketcap,Ethereum,ETH,1027,18
